Rsi_limit,Count_deal,Max_growth_deal,Max_drawdown_deal,Max_growth_depo,Max_drawdown_depo,Avg_profit_deal,Avg_loss_deal,Winrate
(30 - 70),52,23.63,55.6,90.79,107.3,7.89,-17.22,71.15
(29 - 71),48,26.69,55.6,87.77,136.42,7.85,-16.9,66.67
(28 - 72),45,26.69,53.1,102.0,130.64,8.45,-17.6,68.89
(27 - 73),35,27.73,73.32,85.5,162.78,10.18,-17.66,57.14
(26 - 74),31,26.97,73.32,54.28,163.03,9.48,-22.74,61.29
(25 - 75),27,30.45,92.53,85.72,198.57,10.31,-27.21,62.96
(24 - 76),23,30.45,100.48,86.53,215.31,13.0,-24.86,52.17
(23 - 77),18,30.45,100.48,79.78,52.59,13.23,-16.9,61.11
(22 - 78),18,29.92,100.48,92.99,34.57,13.26,-16.77,66.67
(21 - 79),16,31.54,100.48,112.35,30.68,17.46,-10.78,56.25
(20 - 80),16,31.54,100.48,114.67,30.68,17.72,-10.78,56.25
(19 - 81),12,31.54,100.48,98.01,34.77,20.65,-15.44,58.33
(18 - 82),8,31.4,112.85,60.69,58.85,21.48,-23.38,50.0
(17 - 83),6,50.93,112.85,50.61,79.85,40.35,-27.49,33.33
(16 - 84),6,50.54,112.85,50.24,68.17,42.6,-25.78,33.33
(15 - 85),4,50.54,112.85,50.24,51.1,27.5,-25.55,50.0
(14 - 86),4,53.97,112.85,53.93,32.38,19.57,-32.38,75.0
(13 - 87),4,53.97,112.85,53.93,32.38,19.57,-32.38,75.0
(12 - 88),4,53.97,112.85,53.93,32.38,19.57,-32.38,75.0
(11 - 89),4,53.97,112.85,129.11,0.0,32.28,,100.0
(10 - 90),2,53.97,112.85,87.76,0.0,43.88,,100.0
(9 - 91),0,,,0.0,0.0,,,
(8 - 92),0,,,0.0,0.0,,,
(7 - 93),0,,,0.0,0.0,,,
(6 - 94),0,,,0.0,0.0,,,
(5 - 95),0,,,0.0,0.0,,,
(4 - 96),0,,,0.0,0.0,,,
(3 - 97),0,,,0.0,0.0,,,
(2 - 98),0,,,0.0,0.0,,,
(1 - 99),0,,,0.0,0.0,,,
(0 - 100),0,,,0.0,0.0,,,
